loading convaiinnovations/laya-multilingual ...
Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 2649.93it/s]
device=mps  encoding=numeric
train obstacle mix: cactus_small=23.2%  cactus_large=22.5%  pterodactyl@0=18.8%  pterodactyl@25=18.7%  pterodactyl@50=15.0%  none=1.9%
train=100000  calib=4000  test=4000
tokens/row: 72 avg, 74 max
trainable: 15.0M / 321.9M params (4.7%)
positives=53147/100000 (53.1%)  class_weight=[1.0, 1.0]

baseline (before training):
  ep1 step9900/18750 loss=0.1015 (78 rows/s)
  ep1 step10000/18750 loss=0.0857 (78 rows/s)
  ep1 step10100/18750 loss=0.0725 (78 rows/s)
  ep1 step10200/18750 loss=0.0910 (78 rows/s)
  ep1 step10300/18750 loss=0.0835 (78 rows/s)
  ep1 step10400/18750 loss=0.0644 (77 rows/s)
  ep1 step10500/18750 loss=0.0716 (76 rows/s)
  ep1 step10600/18750 loss=0.0865 (75 rows/s)
  ep1 step10700/18750 loss=0.0934 (75 rows/s)
  ep1 step10800/18750 loss=0.0883 (74 rows/s)
  ep1 step10900/18750 loss=0.0905 (73 rows/s)
  ep1 step11000/18750 loss=0.0835 (72 rows/s)
  ep1 step11100/18750 loss=0.0741 (72 rows/s)
  ep1 step11200/18750 loss=0.0790 (71 rows/s)
  ep1 step11300/18750 loss=0.0878 (70 rows/s)
  ep1 step11400/18750 loss=0.0854 (70 rows/s)
  ep1 step11500/18750 loss=0.0757 (69 rows/s)
  ep1 step11600/18750 loss=0.0753 (68 rows/s)
  ep1 step11700/18750 loss=0.0666 (68 rows/s)
  ep1 step11800/18750 loss=0.0977 (67 rows/s)
  ep1 step11900/18750 loss=0.0773 (67 rows/s)
  ep1 step12000/18750 loss=0.0781 (66 rows/s)
  ep1 step12100/18750 loss=0.0837 (66 rows/s)
  ep1 step12200/18750 loss=0.0825 (65 rows/s)
  ep1 step12300/18750 loss=0.0679 (65 rows/s)
  ep1 step12400/18750 loss=0.0937 (64 rows/s)
  ep1 step12500/18750 loss=0.0731 (64 rows/s)
epoch 1: acc=0.980 recall=0.983 precision=0.985 ece=0.007
  ep2 step12600/18750 loss=0.0683 (7 rows/s)
  ep2 step12700/18750 loss=0.0932 (7 rows/s)
  ep2 step12800/18750 loss=0.0493 (7 rows/s)
  ep2 step12900/18750 loss=0.0852 (8 rows/s)
  ep2 step13000/18750 loss=0.0737 (8 rows/s)
  ep2 step13100/18750 loss=0.0757 (8 rows/s)
  ep2 step13200/18750 loss=0.0683 (8 rows/s)
  ep2 step13300/18750 loss=0.0548 (8 rows/s)
  ep2 step13400/18750 loss=0.0759 (8 rows/s)
  ep2 step13500/18750 loss=0.0578 (8 rows/s)
  ep2 step13600/18750 loss=0.0603 (8 rows/s)
  ep2 step13700/18750 loss=0.0686 (8 rows/s)
  ep2 step13800/18750 loss=0.0703 (8 rows/s)
  ep2 step13900/18750 loss=0.0515 (8 rows/s)
  ep2 step14000/18750 loss=0.0873 (8 rows/s)
  ep2 step14100/18750 loss=0.0581 (8 rows/s)
  ep2 step14200/18750 loss=0.0570 (8 rows/s)
  ep2 step14300/18750 loss=0.0431 (8 rows/s)
  ep2 step14400/18750 loss=0.0657 (8 rows/s)
  ep2 step14500/18750 loss=0.0483 (8 rows/s)
  ep2 step14600/18750 loss=0.0464 (8 rows/s)
  ep2 step14700/18750 loss=0.0628 (8 rows/s)
  ep2 step14800/18750 loss=0.0695 (8 rows/s)
  ep2 step14900/18750 loss=0.0621 (9 rows/s)
  ep2 step15000/18750 loss=0.0701 (9 rows/s)
  ep2 step15100/18750 loss=0.0533 (9 rows/s)
  ep2 step15200/18750 loss=0.0649 (9 rows/s)
  ep2 step15300/18750 loss=0.0745 (9 rows/s)
  ep2 step15400/18750 loss=0.0670 (9 rows/s)
  ep2 step15500/18750 loss=0.0649 (9 rows/s)
  ep2 step15600/18750 loss=0.0599 (9 rows/s)
  ep2 step15700/18750 loss=0.0689 (9 rows/s)
  ep2 step15800/18750 loss=0.0645 (9 rows/s)
  ep2 step15900/18750 loss=0.0340 (9 rows/s)
  ep2 step16000/18750 loss=0.0766 (9 rows/s)
  ep2 step16100/18750 loss=0.0582 (9 rows/s)
  ep2 step16200/18750 loss=0.0590 (9 rows/s)
  ep2 step16300/18750 loss=0.0572 (9 rows/s)
  ep2 step16400/18750 loss=0.0475 (9 rows/s)
  ep2 step16500/18750 loss=0.0821 (9 rows/s)
  ep2 step16600/18750 loss=0.0575 (9 rows/s)
  ep2 step16700/18750 loss=0.0676 (9 rows/s)
  ep2 step16800/18750 loss=0.0525 (9 rows/s)
  ep2 step16900/18750 loss=0.0971 (10 rows/s)
  ep2 step17000/18750 loss=0.0752 (10 rows/s)
  ep2 step17100/18750 loss=0.0482 (10 rows/s)
  ep2 step17200/18750 loss=0.0428 (10 rows/s)
  ep2 step17300/18750 loss=0.0420 (10 rows/s)
  ep2 step17400/18750 loss=0.0649 (10 rows/s)
  ep2 step17500/18750 loss=0.0373 (10 rows/s)
  ep2 step17600/18750 loss=0.0441 (10 rows/s)
  ep2 step17700/18750 loss=0.0625 (10 rows/s)
  ep2 step17800/18750 loss=0.0490 (10 rows/s)
  ep2 step17900/18750 loss=0.0466 (10 rows/s)
  ep2 step18000/18750 loss=0.0494 (10 rows/s)
  ep2 step18100/18750 loss=0.0550 (10 rows/s)
  ep2 step18200/18750 loss=0.0465 (10 rows/s)
  ep2 step18300/18750 loss=0.0678 (10 rows/s)
  ep2 step18400/18750 loss=0.0448 (10 rows/s)
  ep2 step18500/18750 loss=0.0689 (10 rows/s)
  ep2 step18600/18750 loss=0.0628 (10 rows/s)
  ep2 step18700/18750 loss=0.0604 (10 rows/s)
epoch 2: acc=0.982 recall=0.979 precision=0.991 ece=0.009

fitted temperature: 1.874
ECE  before=0.0091  after=0.0056
acc  before=0.9818  after=0.9818  (temperature cannot change argmax; acc should be identical)
saved -> checkpoints/dino_head_numeric.pt
